sample_id,cluster_label
0,4
1,0
2,1
3,4
4,2
5,2
6,2
7,3
8,0
9,1
10,0
11,3
12,1
13,0
14,3
15,0
16,4
17,1
18,1
19,3
20,3
21,0
22,0
23,2
24,3
25,2
26,3
27,4
28,0
29,2
30,1
31,0
32,1
33,3
34,2
35,1
36,1
37,3
38,0
39,1
40,2
41,3
42,2
43,1
44,1
45,2
46,3
47,3
48,1
49,2
50,3
51,2
52,0
53,2
54,0
55,0
56,4
57,0
58,2
59,3
60,2
61,1
62,4
63,0
64,1
65,0
66,3
67,4
68,3
69,3
70,3
71,0
72,1
73,1
74,0
75,2
76,2
77,1
78,1
79,3
80,2
81,4
82,1
83,0
84,2
85,0
86,1
87,0
88,0
89,1
90,0
91,3
92,0
93,0
94,0
95,3
96,0
97,3
98,4
99,4
100,3
101,0
102,0
103,4
104,0
105,2
106,1
107,0
108,4
109,1
110,2
111,0
112,0
113,4
114,1
115,1
116,2
117,0
118,3
119,0
120,3
121,2
122,0
123,3
124,4
125,3
126,1
127,0
128,0
129,3
130,1
131,0
132,4
133,0
134,2
135,2
136,0
137,4
138,4
139,1
140,0
141,1
142,1
143,0
144,4
145,1
146,0
147,0
148,0
149,4
150,0
151,3
152,0
153,1
154,4
155,3
156,1
157,0
158,0
159,0
160,2
161,1
162,4
163,4
164,2
165,0
166,0
167,3
168,3
169,1
170,0
171,0
172,0
173,3
174,3
175,0
176,0
177,0
178,0
179,4
180,0
181,2
182,3
183,3
184,1
185,2
186,1
187,0
188,2
189,1
190,2
191,0
192,0
193,2
194,0
195,0
196,4
197,4
198,4
199,4
200,4
201,0
202,4
203,4
204,1
205,3
206,0
207,2
208,4
209,1
210,3
211,1
212,4
213,4
214,1
215,3
216,0
217,2
218,1
219,2
220,4
221,2
222,1
223,0
224,0
225,1
226,2
227,0
228,2
229,0
230,0
231,3
232,3
233,0
234,3
235,4
236,0
237,0
238,2
239,4
240,2
241,0
242,4
243,1
244,4
245,0
246,2
247,4
248,0
249,2
250,0
251,1
252,0
253,0
254,0
255,1
256,4
257,1
258,3
259,4
260,2
261,4
262,2
263,4
264,1
265,1
266,2
267,1
268,0
