Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
143204,1,0.251497006,33,1,2398.0,0.0,5,1,2,0,1.0
14800,0,0.952095808,23,0,15.5,1.0,1,1,0,0,0.0
139610,1,0.03349665,34,0,0.341648374,5010.0,6,0,1,0,1.0
10883,0,0.656124777,76,0,0.175533885,8100.0,10,0,1,0,1.0
71467,1,0.914208122,28,0,0.281776913,3083.0,4,2,0,1,0.0
56232,1,0.9999999,55,1,0.30097456,7900.0,2,0,1,1,2.0
23870,0,0.667656434,63,0,0.215905127,5733.0,7,0,0,0,0.0
80810,1,0.923692103,39,4,0.381605412,5468.0,8,0,1,0,3.0
66321,0,0.280366071,63,0,0.629327902,5400.0,10,0,2,0,0.0
125238,1,0.009229349,41,1,0.27184769,6407.0,6,5,1,3,2.0
142887,0,0.13581297,66,0,0.631620299,28000.0,16,0,9,0,0.0
62477,1,0.9999999,36,1,0.255794928,3666.0,3,2,0,0,2.0
104141,1,0.74093065,64,0,0.34990694,3760.0,9,0,1,0,3.0
86998,0,0.627086244,44,0,0.753723111,3625.0,8,0,2,0,3.0
50328,0,0.397824717,42,0,480.0,,9,0,0,0,2.0
126762,0,0.0,53,1,1773.0,,6,2,1,1,0.0
131822,0,0.0,43,0,0.037403039,9410.0,3,0,0,0,0.0
95651,0,0.9999999,59,0,0.413612565,2291.0,2,0,0,0,1.0
61715,1,1.034786086,25,0,0.077961019,2000.0,4,0,0,0,0.0
68718,1,0.9999999,28,0,0.0,,0,4,0,0,0.0
125296,0,0.101045206,71,0,0.392256967,4700.0,7,0,1,0,0.0
4417,1,0.148477639,46,0,0.542531918,6500.0,11,0,2,0,2.0
5298,1,0.9999999,62,0,0.873772791,1425.0,8,1,1,0,1.0
106684,1,1.029169607,25,0,0.314345501,4300.0,18,0,1,1,0.0
56490,1,0.714535683,36,1,0.171757636,3993.0,10,0,0,0,1.0
87217,0,0.236661226,53,0,0.7828412,4300.0,8,0,2,0,0.0
122191,1,0.995128303,43,0,0.626895854,5933.0,8,0,1,0,0.0
46324,0,0.01896458,57,0,0.861018993,3316.0,8,0,3,0,0.0
146899,0,0.007077238,89,0,0.011535049,2253.0,10,0,0,0,0.0
106216,0,0.442938807,80,0,0.333185202,9000.0,8,0,2,0,0.0
81688,0,0.047223437,54,0,2409.0,,9,0,1,0,0.0
83936,0,0.965314521,50,3,2995.0,0.0,13,0,1,0,0.0
148763,0,0.434537113,55,0,0.248511678,6550.0,6,0,1,0,2.0
99641,0,0.040021333,73,0,587.0,,4,0,0,0,0.0
47812,1,0.25354929,46,0,4171.0,,6,0,4,0,0.0
212,0,0.9999999,66,1,0.358101135,1937.0,4,1,0,0,0.0
83515,1,0.505892271,43,0,0.522134878,4833.0,19,0,0,0,0.0
67957,1,0.99620076,23,0,0.077961019,2000.0,3,0,0,0,0.0
122216,1,0.495966375,60,2,0.329833508,6666.0,10,0,2,0,0.0
144611,0,0.340659341,69,0,0.213487198,2772.0,4,0,0,0,0.0
36592,0,0.451936578,31,0,1.02736266,4750.0,6,1,2,0,0.0
4026,1,0.9999999,51,1,0.11059044,3200.0,6,2,0,1,0.0
145964,0,0.76832371,57,0,7518.0,,15,0,3,0,1.0
120320,0,0.883153139,32,0,0.30541051,9000.0,9,0,1,0,0.0
60273,1,0.964143426,44,1,0.183980484,4918.0,6,0,0,1,1.0
135631,0,0.123587641,49,0,0.338559814,8609.0,5,0,2,0,3.0
61930,0,0.192354349,53,0,0.008749563,20000.0,4,0,0,0,0.0
6490,0,0.44941721,64,1,0.388149134,3003.0,11,0,0,0,1.0
64834,0,0.072419639,44,0,0.37241536,4400.0,8,0,1,0,0.0
68366,1,0.967082559,49,0,0.520342834,9683.0,17,0,2,1,4.0
98497,1,0.086243745,82,5,0.830458354,4057.0,27,0,1,0,0.0
36887,0,0.540972266,55,0,0.419354839,2200.0,7,0,0,0,0.0
24205,1,0.118534133,39,0,0.496613267,9300.0,10,0,3,0,1.0
59590,0,0.030479501,72,0,0.236148579,4818.0,9,0,1,0,0.0
141687,0,0.080411335,63,0,0.232170629,4500.0,9,0,1,0,0.0
40340,1,1.527192009,46,1,0.020217729,4500.0,3,3,0,4,2.0
60450,1,0.9999999,38,2,0.506845101,6500.0,8,0,2,0,2.0
43949,1,0.950345973,60,6,0.732920856,3878.0,12,4,0,3,0.0
81812,1,0.535689375,76,0,0.075219197,6500.0,7,0,0,0,0.0
89069,0,0.596745314,64,0,0.353682316,20000.0,22,0,2,0,1.0
135812,1,0.939637723,58,0,0.859190135,6000.0,23,0,2,0,4.0
78167,0,0.9999999,55,0,0.128926454,7926.0,3,0,1,0,0.0
134421,1,0.9999999,46,0,0.463407134,3251.0,3,0,1,0,2.0
149642,1,0.932005787,60,1,0.567599762,10073.0,17,0,3,0,0.0
108038,1,0.30597719,55,0,0.728305148,8100.0,15,0,4,0,0.0
117924,1,0.682694353,39,0,0.271517997,3833.0,5,0,0,0,0.0
26088,0,0.019762638,75,0,486.0,0.0,6,0,0,0,0.0
83125,1,1.191616766,62,3,0.182461987,4800.0,6,3,0,1,0.0
67607,0,0.831622765,46,0,0.577320955,7539.0,8,0,2,0,3.0
19566,1,0.404319136,28,0,0.267539077,2750.0,7,0,0,0,0.0
41646,1,0.604386116,38,1,0.321712381,3900.0,4,1,1,0,2.0
41162,0,0.1766439,62,0,0.394612608,3600.0,8,0,1,0,0.0
43845,1,0.857142857,32,0,0.053936065,7100.0,3,0,0,0,2.0
116192,1,0.990230259,50,5,0.265716785,8000.0,12,0,0,0,0.0
53299,0,0.169991238,41,0,0.105378924,5000.0,9,0,0,0,1.0
93028,0,0.01298566,71,0,2365.0,,9,0,1,0,0.0
5750,1,0.538073669,53,0,0.406379681,20000.0,9,0,1,1,1.0
109790,0,0.087833186,55,0,187.0,1.0,7,0,0,0,0.0
108017,0,0.024008016,68,0,0.298103608,4323.0,24,0,1,0,1.0
16395,1,0.678235034,41,6,0.506274997,7250.0,11,0,2,0,3.0
35308,0,0.006938931,59,0,0.097370137,4600.0,12,0,0,0,1.0
124373,0,0.21475141,56,0,0.295568144,3000.0,12,0,1,0,1.0
147691,1,0.9999999,66,0,0.0,,0,0,0,0,0.0
10380,1,1.39800995,32,1,240.0,,3,1,0,0,0.0
74074,1,0.083743019,39,0,0.35337173,8333.0,16,0,1,0,1.0
58339,1,0.671166345,61,2,0.077980505,4000.0,6,0,0,0,1.0
58070,1,2.38e-05,39,0,1607.0,0.0,10,0,1,0,2.0
113162,0,0.011982701,64,0,0.003375899,6812.0,8,0,0,0,2.0
4314,0,0.086771635,31,1,0.258609198,4500.0,6,0,1,0,0.0
9357,1,0.811583302,54,2,0.262707599,1986.0,6,1,0,0,1.0
124791,1,0.200109574,60,1,0.540776896,4916.0,8,0,2,2,1.0
105843,1,1.070673787,45,0,0.558319871,3094.0,6,0,0,0,0.0
87528,0,0.0,76,0,38.0,,6,0,0,0,
71080,0,0.220821447,44,0,0.027903887,9030.0,5,0,0,0,1.0
87216,1,0.488877781,25,1,0.182204449,4000.0,7,0,0,1,1.0
73161,1,0.913719216,32,0,0.375261567,4300.0,13,0,0,0,0.0
120871,0,0.874971807,54,3,0.588711855,3702.0,15,1,1,1,2.0
104585,1,0.417072745,58,0,0.758589347,5500.0,17,4,1,2,1.0
1804,1,0.9999999,79,0,190.0,,0,0,0,0,0.0
35924,1,0.909331568,22,0,0.212524983,1500.0,4,0,0,0,0.0
84070,0,0.10953076,65,0,0.427611582,6250.0,11,0,1,0,1.0
99884,0,0.382202225,32,0,0.436791824,4500.0,11,0,1,0,1.0
145992,0,0.154687564,32,0,0.029081097,6670.0,5,0,0,0,0.0
16694,1,0.393032419,37,0,0.268284462,8900.0,9,0,1,0,3.0
92579,0,0.442970822,41,0,0.168699792,3360.0,10,1,0,0,0.0
39283,0,0.9999999,28,0,0.0,2607.0,2,0,0,0,0.0
115060,0,0.16134876,62,0,0.068154257,8245.0,4,0,0,0,0.0
117417,0,0.031142222,45,0,628.0,,8,0,0,0,2.0
13857,0,0.662225183,57,0,520.0,,9,0,0,0,0.0
76012,0,0.01107328,56,0,3140.0,,7,0,2,0,0.0
113532,0,0.9999999,46,1,0.0,2000.0,1,0,0,0,0.0
121004,1,0.525418377,31,2,0.741338112,3347.0,9,1,1,1,3.0
74156,1,0.509993154,41,0,0.17378969,16565.0,8,0,0,0,2.0
130814,1,0.0,60,2,0.000384468,2600.0,4,0,0,0,0.0
34910,0,0.755628818,40,1,0.221565098,11666.0,11,0,1,1,2.0
46417,0,0.164640786,49,0,0.381500788,8248.0,9,0,1,0,0.0
82286,1,0.379729622,33,1,0.38069602,5200.0,5,1,1,0,1.0
65627,0,0.0,62,0,0.346007605,3155.0,15,0,1,0,1.0
75454,0,0.00327626,68,0,86.0,,6,0,0,0,0.0
79758,1,0.998889136,42,2,0.491305629,3392.0,6,1,1,0,0.0
143194,1,0.443891383,44,0,0.729054189,5000.0,12,0,3,0,1.0
92467,1,0.480249139,30,5,0.44939577,2647.0,14,0,1,0,0.0
37314,1,0.5980755,29,1,0.147327249,2300.0,5,1,0,0,2.0
84394,0,0.952213618,55,4,0.365557316,13250.0,12,0,2,1,1.0
21698,0,0.03304371,69,0,0.016660356,2640.0,4,0,0,0,0.0
137772,1,0.684755471,83,1,1494.0,,26,0,0,1,0.0
46971,0,0.8697507,29,0,1.033273381,3335.0,10,0,2,0,0.0
75849,0,0.411829533,52,1,0.611357587,3380.0,12,0,0,0,0.0
86113,1,0.9999999,44,0,1374.0,,1,1,1,0,4.0
103211,0,0.117564069,45,0,0.395920816,5000.0,14,0,1,0,1.0
126322,1,0.0,51,2,0.619670939,11000.0,6,0,2,0,2.0
97555,1,0.826948541,59,0,0.63621489,3666.0,19,0,1,0,0.0
109285,0,0.97270273,47,0,1.142548596,4166.0,19,0,5,0,0.0
93261,0,0.093095969,47,0,0.220443858,12120.0,7,0,1,0,3.0
97546,0,0.008110811,80,0,63.0,,5,0,0,0,
52655,1,0.9999999,40,1,0.501051402,8559.0,4,2,3,0,1.0
111520,1,0.94450185,54,0,0.327649362,7916.0,4,1,1,2,0.0
73309,1,0.0,51,1,0.160167966,5000.0,11,1,1,0,1.0
137453,1,1.219390305,58,2,0.28101945,8945.0,7,2,1,0,0.0
107182,1,0.817647794,34,0,0.648018093,8400.0,11,0,1,0,3.0
50405,1,0.792218319,49,1,0.680746863,3266.0,9,1,1,2,0.0
104791,0,0.020928584,44,0,0.418129305,4500.0,12,0,1,0,0.0
28808,1,0.957569542,54,0,0.371125775,5000.0,11,2,1,1,2.0
61782,0,0.01519848,35,0,0.282429393,4000.0,6,0,2,0,2.0
98417,1,0.926073926,64,3,0.638141809,4089.0,5,1,1,1,0.0
50426,0,0.700557148,56,0,0.283218889,8300.0,6,0,1,0,2.0
104776,0,0.010094963,33,0,0.002678354,4106.0,4,0,0,0,3.0
129500,1,0.27921854,43,0,0.455823793,8035.0,20,0,2,0,2.0
144803,0,0.293719042,54,2,0.304464005,6361.0,17,0,1,0,0.0
25215,0,0.9999999,39,0,0.443019943,2807.0,7,0,0,0,2.0
106348,1,0.170144809,39,0,0.740076448,3400.0,11,0,2,0,1.0
97436,0,0.395900818,47,1,0.764478764,2330.0,10,0,1,0,0.0
121638,0,0.060791732,64,0,0.139513218,8586.0,8,0,1,0,0.0
573,1,0.339503567,89,1,0.549380248,2500.0,9,3,0,1,0.0
13156,0,0.089129412,85,0,0.2161982,9000.0,19,0,1,0,0.0
113107,0,0.958809908,65,0,0.683172656,2281.0,11,0,2,0,0.0
126661,0,0.85440416,31,0,0.171443807,7500.0,5,0,0,0,0.0
85234,1,0.803526787,58,4,0.362299662,6800.0,20,1,0,0,0.0
67372,0,0.656513462,46,0,3721.0,,15,0,2,0,0.0
81592,1,0.760447825,45,0,0.396766301,9400.0,19,0,2,0,3.0
127753,0,0.389507366,78,0,0.222751729,6504.0,5,0,1,0,1.0
77733,0,0.547740602,49,2,0.261043447,5500.0,7,0,1,0,2.0
104230,0,0.135636225,47,0,0.075425364,5700.0,10,0,0,0,0.0
117974,1,0.9999999,52,0,0.537431237,4180.0,5,2,2,0,2.0
116665,1,1.464387464,31,1,251.0,,3,0,0,0,0.0
37999,1,1.180699731,61,2,1235.0,,6,3,1,2,0.0
96146,1,0.9999999,22,0,0.310047847,1044.0,1,0,0,0,1.0
51538,1,0.0,48,1,0.344413897,4000.0,6,0,0,3,6.0
28498,0,0.197726593,83,0,0.041628959,3314.0,4,0,0,0,0.0
84880,1,0.917131321,43,5,2642.0,,5,2,1,0,0.0
63313,1,0.9999999,43,0,24.0,,0,2,0,0,0.0
87714,0,0.103635672,43,0,0.215362641,6300.0,8,0,0,0,2.0
32537,1,1.127041742,25,0,0.028851388,1836.0,2,1,0,0,0.0
399,1,0.802417179,58,1,668.0,,5,1,0,0,0.0
37574,0,0.035666597,69,1,0.282239254,3000.0,10,0,0,0,0.0
107436,1,0.9999999,51,0,0.095268542,6255.0,1,3,0,0,2.0
94029,0,0.037584197,49,0,0.857035741,4000.0,15,0,2,0,1.0
23305,1,0.953576162,56,0,1.522064323,1336.0,10,0,0,0,0.0
146184,0,0.0,56,0,2097.0,,12,0,1,0,0.0
27232,1,0.283060796,53,0,1.040433925,6083.0,17,0,4,0,1.0
120847,1,0.282679417,45,0,0.233586315,8300.0,10,0,1,0,2.0
142916,0,0.023786667,94,0,0.006497726,3077.0,7,0,0,0,0.0
115673,1,0.234859354,47,1,0.32642487,1350.0,11,0,0,0,3.0
21315,1,0.122221498,33,0,0.242651657,3197.0,7,0,0,0,0.0
32130,0,0.888791282,50,0,0.29579646,9039.0,15,0,1,0,1.0
59493,0,1.084130838,67,2,0.179008568,3267.0,3,0,0,0,2.0
25992,1,1.007763792,61,0,0.168555582,4146.0,4,1,0,0,2.0
25498,1,1.381546135,46,2,0.119017571,10300.0,7,1,1,0,2.0
145487,1,1.758483034,39,0,231.0,,12,3,0,1,0.0
50428,1,0.659990718,49,1,0.337325995,9266.0,8,0,1,0,5.0
48771,0,0.038398405,53,0,0.500049995,10000.0,11,0,1,0,1.0
134937,0,0.019273092,48,0,0.203053283,10021.0,9,0,2,0,3.0
5919,1,0.648226066,34,0,0.27063879,12100.0,12,0,2,0,0.0
82061,0,0.000488867,41,0,0.319065274,8900.0,5,0,1,0,3.0
50471,0,0.95530447,43,0,0.258699304,4166.0,3,0,0,0,1.0
92405,0,0.670697266,57,0,0.483442395,10085.0,13,0,3,0,1.0
147193,1,1.011473529,30,1,0.425805854,10795.0,9,0,1,0,1.0
79614,0,0.027418765,59,0,0.004110654,9000.0,7,0,0,0,0.0
37361,0,0.9999999,47,1,0.350373483,4283.0,1,0,1,0,2.0
11700,1,0.0,61,0,98.0,,8,1,0,0,0.0
58299,1,0.119985456,60,0,0.225385528,5900.0,9,0,2,0,0.0
28849,0,0.064015491,48,0,0.205347594,5609.0,4,0,1,0,1.0
9543,0,0.854731046,54,0,0.4679594,6600.0,12,0,1,0,1.0
